Attrition_Flag,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Contacts_Count_12_mon,Avg_Utilization_Ratio,Total_Trans_Amt,Months_Inactive_12_mon,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1
1,42,1.625,777,3,0.061,1144,1,5,1.335
1,33,3.714,864,2,0.105,1291,1,6,1.541
1,20,2.333,0,0,0.0,1887,1,4,2.594
1,20,2.333,2517,1,0.76,1171,4,3,1.405
1,28,2.5,0,0,0.0,816,1,5,2.175
1,24,0.846,1247,2,0.311,1088,1,3,1.376
1,31,0.722,2264,3,0.066,1330,1,6,1.975
1,36,0.714,1396,2,0.048,1538,2,2,2.204
1,24,1.182,2517,0,0.113,1350,2,5,3.355
1,32,0.882,1677,3,0.144,1441,3,6,1.524
1,42,0.68,1467,2,0.217,1201,3,5,0.831
1,26,1.364,1587,3,0.174,1314,2,6,1.433
1,17,3.25,0,0,0.0,1539,6,3,3.397
1,33,2.0,1666,3,0.195,1311,1,5,1.163
1,29,0.611,680,2,0.279,1570,2,5,1.19
1,27,1.7,972,2,0.23,1348,1,5,1.707
1,27,0.929,2362,3,0.078,1671,2,6,1.708
1,21,1.625,1291,1,0.095,1028,4,4,0.653
1,30,1.143,2517,3,0.788,1336,2,2,1.831
1,21,0.909,1157,2,0.08,1207,1,6,0.966
1,27,0.929,1800,0,0.086,1178,2,5,0.906
0,16,0.6,0,3,0.0,692,3,2,1.047
1,18,1.571,680,1,0.152,931,2,4,1.608
1,23,0.353,1560,2,0.626,1126,3,3,0.573
1,21,0.75,0,3,0.0,1110,2,4,1.075
1,22,0.833,1669,2,0.215,1051,1,6,0.797
1,23,1.3,1374,2,0.093,1197,1,4,0.921
1,40,1.0,1010,2,0.099,1904,3,3,0.843
1,18,1.571,0,2,0.0,1052,2,5,0.525
1,38,0.9,1362,0,0.285,1045,0,6,0.739
1,25,2.571,1811,3,0.658,1038,2,3,0.977
1,26,1.6,1690,1,0.69,1596,5,2,1.323
1,24,1.667,2517,2,0.282,1589,1,4,1.726
1,28,1.0,1490,3,0.562,1411,2,5,1.75
1,24,0.714,1696,2,0.135,1291,2,6,0.519
1,43,0.483,1914,1,0.544,1407,2,4,0.51
1,37,1.176,2298,3,0.757,1877,2,6,1.724
1,22,1.2,0,3,0.0,966,3,2,0.865
1,28,0.556,886,2,0.241,1464,3,3,1.32
0,16,0.143,605,3,0.077,704,4,5,1.052
1,28,0.474,578,2,0.018,1109,2,2,1.042
1,28,0.556,2204,0,0.355,1347,1,4,0.803
1,33,1.2,2517,3,0.145,1756,2,3,1.449
1,32,1.0,0,1,0.0,1756,2,5,1.214
1,23,0.917,2055,3,0.209,1042,3,2,0.977
1,28,1.333,0,3,0.0,1444,2,3,1.621
1,27,0.588,1430,0,0.626,1741,2,6,2.316
1,27,1.7,2020,2,0.793,1719,2,3,2.357
1,27,0.8,1435,3,0.074,1217,3,4,0.787
1,40,0.6,1227,1,0.259,1140,1,5,0.624
1,30,1.143,1549,2,0.591,1878,3,6,1.321
0,19,0.9,808,1,0.562,705,3,2,0.997
1,38,1.923,2179,2,0.687,1946,4,3,1.224
1,35,0.25,2517,0,0.127,1414,2,4,0.664
0,15,0.364,0,3,0.0,602,3,1,1.041
1,32,0.6,2200,2,0.667,1052,4,6,0.678
1,40,0.6,2363,0,0.843,1295,2,2,0.75
1,29,1.417,1880,3,0.422,1424,2,4,1.107
1,25,1.083,978,2,0.156,1359,1,4,2.275
1,27,1.25,1753,3,0.525,1168,4,4,0.69
1,33,0.833,2016,3,0.587,1097,2,4,0.901
0,15,0.5,0,4,0.0,691,4,2,0.763
1,28,1.154,1251,3,0.211,1316,3,5,0.944
1,26,0.733,2102,2,0.088,1276,4,2,0.997
1,23,0.917,1634,2,0.111,1289,2,4,0.989
1,32,0.6,1515,4,0.044,1293,1,4,0.592
1,35,0.667,1817,3,0.276,1353,3,5,0.62
1,28,0.556,1468,3,0.704,1132,3,6,1.004
1,17,2.4,1107,2,0.656,1670,2,2,1.715
1,15,2.0,1330,2,0.053,837,2,6,1.072
1,41,1.05,1763,3,0.051,1550,2,3,1.266
1,36,0.286,1034,3,0.467,1540,3,5,0.758
1,21,0.4,2030,3,0.698,1256,2,4,0.769
1,35,0.522,1528,2,0.067,1394,2,6,0.414
1,24,1.182,1932,3,0.079,1341,3,3,1.312
1,33,0.435,1515,2,0.287,1289,3,5,0.857
1,23,1.875,2517,2,0.36,1112,4,6,0.475
1,57,0.966,1801,2,0.256,2339,4,4,0.751
1,23,0.353,1823,2,0.719,1468,1,6,0.703
1,35,0.4,1899,2,0.066,1334,3,6,0.85
1,41,1.412,1695,0,0.198,1457,4,4,1.242
1,29,0.526,1533,2,0.044,1603,2,6,0.924
0,12,0.714,0,3,0.0,615,4,2,0.585
1,20,0.818,1417,3,0.14,1068,3,2,0.383
1,27,2.0,1219,2,0.035,1590,4,5,1.129
1,35,0.667,1910,0,0.619,1531,3,5,0.921
1,31,0.722,2056,1,0.108,1212,2,4,0.607
1,32,0.6,0,3,0.0,1237,2,5,0.483
1,14,1.8,837,1,0.066,1413,3,4,1.932
1,29,1.636,0,3,0.0,1516,3,5,1.702
1,21,1.333,0,2,0.0,1276,2,3,0.731
1,35,2.182,1953,0,0.062,1564,3,4,0.875
1,34,0.619,0,3,0.0,1465,4,4,0.579
1,29,0.933,2037,1,0.765,1286,4,5,0.85
1,20,1.222,2440,2,0.963,1312,1,5,1.705
1,32,0.882,895,3,0.524,1673,4,6,1.656
1,30,0.304,1200,2,0.347,1313,4,5,0.597
1,42,0.68,1706,2,0.45,1609,3,5,1.047
1,19,0.727,2250,0,0.232,1158,2,3,0.576
0,18,0.385,1628,3,0.299,836,3,2,0.696
1,22,1.0,1960,0,0.085,1289,4,4,0.619
1,26,0.733,2053,3,0.059,1487,3,5,1.034
1,33,0.5,1264,2,0.43,1259,2,6,0.562
1,15,1.5,1879,3,0.62,1298,3,3,0.788
1,34,0.789,0,0,0.0,1226,3,3,0.883
1,37,0.542,926,3,0.111,1566,3,2,0.762
1,21,1.1,931,2,0.027,1022,1,6,0.828
1,30,0.667,2440,3,0.169,1235,2,5,1.283
1,44,1.095,0,0,0.0,1951,0,6,0.813
1,31,0.824,1960,2,0.058,1047,3,6,0.618
1,32,0.391,1886,0,0.223,1342,3,4,0.56
1,21,1.625,865,3,0.057,1107,3,5,0.939
1,35,0.346,1674,2,0.513,1251,1,5,0.588
1,24,3.0,706,2,0.473,1305,2,2,1.674
1,37,1.056,1294,0,0.095,1388,1,6,0.791
1,18,1.571,895,2,0.047,1235,2,6,1.826
1,36,1.118,1273,0,0.106,2089,2,3,1.024
1,25,0.786,1559,4,0.156,1626,1,4,1.873
1,24,1.0,1196,3,0.05,1111,6,4,0.712
1,38,1.0,1901,3,0.355,1553,2,3,0.816
1,13,0.625,1023,2,0.03,1064,2,3,1.004
1,29,0.611,1951,0,0.615,1243,1,4,0.766
1,38,1.533,1836,2,0.15,1659,2,3,1.584
1,47,0.382,1540,3,0.407,1594,3,4,0.566
1,42,0.355,1527,2,0.044,1268,3,2,0.526
1,24,0.846,0,2,0.0,1304,2,4,0.676
1,30,0.364,0,0,0.0,1368,1,6,0.567
0,23,0.353,2227,2,0.191,720,3,3,0.622
1,29,1.417,1300,2,0.096,1521,1,3,0.846
1,30,0.765,2090,2,0.176,1137,2,4,0.7
1,16,0.778,1985,2,0.83,978,1,5,0.788
1,16,2.2,2517,2,0.412,1221,1,5,0.632
1,28,1.545,1662,3,0.086,1565,2,3,1.186
1,34,0.7,2517,4,0.678,1578,1,3,1.541
1,32,1.0,797,3,0.246,1493,1,2,0.541
1,27,0.929,788,0,0.067,1178,1,3,0.688
1,26,0.733,2100,2,0.271,991,3,5,0.839
1,42,1.211,1186,0,0.114,2560,1,5,1.689
1,29,1.231,1568,3,0.395,1657,2,6,1.236
1,19,0.727,2517,2,0.406,1204,2,4,0.939
0,18,0.8,0,3,0.0,673,3,1,0.654
1,18,0.636,2327,3,0.258,1131,2,6,0.649
1,25,1.5,2517,2,0.169,1576,3,2,1.996
1,20,0.667,1128,3,0.178,1217,2,3,0.397
0,10,1.0,0,3,0.0,530,3,2,0.71
0,16,0.455,0,3,0.0,739,2,3,0.76
1,31,2.875,2117,2,0.941,1617,3,6,1.162
1,34,1.0,1536,0,0.141,1592,2,3,1.317
1,30,1.308,1228,3,0.23,1343,1,4,0.728
1,39,0.625,1104,3,0.118,1303,1,4,0.572
1,22,0.467,0,0,0.0,1351,1,5,1.047
1,32,1.909,1652,3,0.119,1910,2,5,1.255
1,22,0.571,0,3,0.0,1298,2,2,0.868
1,29,1.231,1540,2,0.64,1087,2,6,0.469
1,26,1.364,930,3,0.432,1439,2,4,2.121
1,28,0.75,0,3,0.0,1238,3,3,0.786
1,29,0.812,0,3,0.0,1716,1,6,1.373
1,27,0.8,618,3,0.066,1099,1,6,0.554
1,24,2.429,0,2,0.0,1058,3,4,1.3
1,29,0.706,1954,1,0.612,1285,3,2,0.971
1,28,1.0,1024,1,0.359,1651,2,5,1.009
1,31,0.824,1305,3,0.309,1152,3,2,0.852
1,38,2.167,2071,2,0.101,1767,2,3,1.248
1,24,0.263,2114,3,0.607,1039,5,6,0.508
1,28,1.333,1570,3,0.512,1130,2,5,1.077
1,30,0.429,1761,2,0.806,1645,1,3,0.682
1,29,0.706,746,0,0.463,1413,1,4,0.993
1,23,2.286,2173,3,0.77,1218,3,3,1.456
0,17,0.7,2517,3,0.076,597,3,6,0.658
1,53,0.828,0,2,0.0,2184,2,5,0.776
1,37,1.467,1719,3,0.108,1592,3,4,0.86
1,28,0.75,893,3,0.133,1388,3,6,0.567
0,20,0.25,0,1,0.0,757,2,2,0.713
1,34,0.789,1260,3,0.037,1504,1,3,0.588
1,34,0.478,1434,2,0.146,1503,1,4,0.644
1,28,0.867,1777,2,0.171,1105,2,5,0.791
1,47,0.88,1836,2,0.069,2398,1,2,1.432
1,32,1.0,2517,2,0.837,1661,3,4,2.053
1,22,1.444,1072,0,0.055,1421,3,6,0.706
1,28,0.556,985,3,0.294,999,2,4,0.35
1,18,0.8,2248,1,0.39,1387,2,3,1.791
1,24,1.0,2107,3,0.19,1243,2,6,0.948
1,36,1.0,2001,0,0.692,1860,3,5,1.334
1,25,1.273,1701,2,0.503,1502,2,6,0.747
1,50,1.083,1251,2,0.059,1460,1,2,0.949
1,27,0.286,0,1,0.0,1348,2,6,0.646
1,33,0.941,462,0,0.074,1087,1,3,1.161
1,33,0.571,738,3,0.513,1226,1,5,0.782
1,28,0.867,1626,2,0.174,1230,1,5,0.701
1,32,0.684,0,3,0.0,1555,1,6,0.688
1,24,3.0,1976,1,0.135,1827,3,5,1.768
1,35,0.591,0,0,0.0,1376,2,5,0.731
1,37,0.762,1594,3,0.251,1771,2,4,0.896
1,52,0.529,1676,0,0.078,1873,3,3,1.097
1,42,0.556,1598,1,0.463,1679,1,5,0.971
1,22,0.571,799,2,0.133,1002,1,2,0.819
1,21,1.1,1998,3,0.11,1344,2,3,0.829
1,42,0.75,1423,1,0.087,1461,3,3,1.642
0,21,0.615,900,2,0.626,760,3,1,0.743
1,22,1.444,1687,2,0.214,1428,1,4,1.242
1,42,0.75,866,0,0.164,1777,3,5,0.869
1,27,0.8,2006,3,0.176,1302,5,4,0.619
1,41,0.519,1632,3,0.133,1483,5,4,1.509
1,27,0.5,1679,1,0.049,1060,2,3,0.623
1,32,0.684,1468,2,0.043,1330,2,4,0.505
1,27,0.8,1580,2,0.15,1229,2,3,0.504
0,27,0.421,0,3,0.0,886,4,2,0.707
0,24,0.5,0,3,0.0,844,3,3,0.688
1,37,0.947,1779,2,0.679,1450,1,2,1.259
1,48,0.714,2395,0,0.098,2311,3,2,1.071
1,26,1.167,1649,2,0.694,1378,1,4,0.93
1,26,1.364,1359,3,0.039,1033,2,3,1.327
1,40,1.105,2207,3,0.199,1523,3,5,0.869
1,37,0.762,2517,2,0.22,1374,2,4,0.615
1,21,1.333,1721,2,0.13,1080,3,5,0.908
1,24,0.714,1955,3,0.76,1234,2,3,0.531
1,32,0.455,1168,0,0.202,1600,2,5,0.638
1,32,0.882,2509,2,0.319,1155,1,5,0.971
1,33,0.737,1202,2,0.035,1353,1,6,0.603
1,25,1.273,1835,3,0.165,1546,1,4,2.368
1,43,1.263,1603,3,0.863,1590,1,2,0.579
1,22,1.0,1272,0,0.665,1448,1,5,1.008
1,24,0.714,2295,0,0.598,1271,3,5,0.569
1,20,0.538,1141,3,0.539,1223,2,6,0.616
1,29,1.071,679,2,0.472,1117,2,5,0.859
1,24,0.846,1789,0,0.064,994,3,4,0.75
1,26,0.625,0,2,0.0,1468,1,4,0.81
1,38,0.357,2222,2,0.16,1658,4,6,0.853
1,38,0.407,1304,3,0.42,1368,1,3,0.604
1,18,0.8,1666,3,0.048,1218,3,4,0.613
0,12,0.714,1025,3,0.713,702,4,4,0.838
1,21,2.0,1740,0,0.092,1516,3,2,1.727
1,26,1.0,1748,2,0.336,1310,2,5,1.073
1,50,0.923,1644,2,0.092,1767,2,6,0.921
1,25,0.923,1819,3,0.666,933,3,6,0.767
1,27,1.455,1301,2,0.147,1512,3,4,1.207
0,17,0.7,1833,3,0.987,829,3,2,0.723
1,27,0.35,0,3,0.0,1120,3,3,0.483
1,33,0.941,1222,3,0.11,1506,3,5,0.538
1,36,2.273,1585,2,0.073,1384,1,4,0.621
0,30,0.667,2517,3,0.88,817,3,2,0.993
1,25,0.667,1475,2,0.28,2094,2,4,1.148
0,21,0.615,0,3,0.0,815,2,2,0.734
0,24,0.6,0,2,0.0,510,3,1,0.789
1,49,0.69,1289,3,0.65,1377,2,6,0.939
1,33,0.65,1650,2,0.355,1193,2,2,0.912
1,36,0.636,1666,2,0.761,1287,3,6,0.343
0,19,0.727,0,3,0.0,701,3,3,0.98
1,25,0.923,1532,2,0.072,1770,1,4,1.018
1,35,0.167,2480,2,0.327,1409,1,5,0.435
1,28,0.647,1486,2,0.459,1354,1,4,0.868
1,34,1.615,1125,2,0.252,1765,3,5,1.363
1,27,0.588,709,4,0.244,1192,3,6,0.538
0,17,0.545,1054,3,0.291,687,4,2,0.616
1,15,0.875,1495,3,0.46,1227,2,3,0.581
1,26,1.6,1152,3,0.489,1737,3,4,0.969
1,34,1.125,953,0,0.043,1348,1,4,0.769
1,38,0.462,1510,2,0.482,1435,2,4,0.609
1,28,0.75,849,0,0.24,1321,3,2,0.456
1,29,0.611,1378,2,0.197,1479,3,6,0.73
1,39,1.294,1652,3,0.048,1283,2,2,0.854
0,23,0.353,0,1,0.0,689,4,1,1.038
1,17,1.125,1171,2,0.048,965,3,6,0.655
1,40,1.0,2143,2,0.866,1541,3,2,1.53
1,23,1.3,795,3,0.152,1258,1,5,0.707
1,20,0.538,1650,2,0.317,1339,2,5,0.708
1,22,1.444,1082,2,0.114,1007,2,2,0.701
1,33,1.357,2430,2,0.762,1387,3,6,0.617
0,18,0.385,0,3,0.0,960,3,1,1.021
1,18,3.5,1434,3,0.626,1119,3,3,0.923
1,41,0.519,1115,3,0.211,1642,1,6,0.549
1,31,1.067,0,0,0.0,1382,3,5,0.795
1,32,0.684,0,2,0.0,1232,2,6,0.814
1,16,1.286,1029,0,0.162,1542,3,4,0.838
1,32,0.524,1576,3,0.196,1094,3,4,0.826
1,30,1.143,1769,2,0.734,1217,2,2,0.759
0,18,1.0,0,2,0.0,744,1,1,0.898
1,33,0.737,1007,0,0.446,1614,2,4,0.84
1,31,1.214,2481,2,0.14,1747,2,5,1.302
1,22,1.0,1100,3,0.262,1144,1,3,0.587
1,34,2.4,1440,2,0.042,1575,3,4,1.117
1,24,1.667,2168,0,0.094,1463,3,4,0.859
1,21,1.625,1711,3,0.308,1706,2,5,1.434
0,14,0.273,0,1,0.0,909,3,3,1.129
1,33,1.538,1999,2,0.68,2434,1,3,2.145
1,41,0.783,1274,0,0.238,1876,1,2,1.015
0,25,0.786,0,3,0.0,1000,3,3,0.953
1,30,0.765,2517,2,0.753,1139,3,6,0.771
0,21,0.235,2221,2,0.877,799,2,6,0.491
1,45,0.607,1376,3,0.724,1881,2,2,0.89
1,27,0.588,1703,2,0.117,1273,3,2,0.955
